index,cn_query,created_at,lat,lon,need_type
1,How can I donate to help transport Sandra to a safe location in Nebraska?,Wed Apr 03 02:51:48 +0000 2019,41.499811371974445,-98.40202455,resource_coordination
2,Where can I drop off donations in Paulding to support Nebraska farmers and those in need?,Fri Apr 05 02:48:39 +0000 2019,40.583857352822264,-98.52121408,resource_coordination
3,"How can I get disaster assistance in Papillion, Nebraska?",Wed Mar 27 20:48:09 +0000 2019,41.50147885075187,-95.75355933,resource_coordination
4,"How can I access food assistance through DisasterSNAP in Scottsbluff, Nebraska?",Sun Mar 31 06:03:00 +0000 2019,41.85363356125596,-103.6382236,resource_coordination
5,Where can I donate to the Nebraska Farmers Union Foundation for flood relief?,Thu Mar 28 17:02:33 +0000 2019,40.82783384452404,-98.60675841,resource_coordination
6,"Are there any recovery services available to repair damaged roads and bridges in Gretna, Nebraska?",Thu Mar 28 17:43:17 +0000 2019,41.21520634,-95.7398951,power_restoration
7,What services are available at the Wood River Community Center?,Fri Apr 05 11:43:11 +0000 2019,41.19684481390824,-98.57740185,resource_coordination
8,"How can I help with flood relief efforts in Nebraska on March 26, 2019?",Tue Mar 26 22:53:28 +0000 2019,41.03821943857126,-98.11437261,resource_coordination
9,How can I help people affected by the flooding in Nebraska?,Sun Mar 31 01:59:38 +0000 2019,40.89153507202306,-97.51451123,resource_coordination
10,How can I donate to Lutheran Disaster Response for the Hamburg emergency in Nebraska?,Thu Apr 04 21:06:03 +0000 2019,40.64433565887894,-95.71858055,resource_coordination
11,Am I eligible for SNAP aid near Offutt Air Force Base?,Sun Mar 31 05:29:10 +0000 2019,41.07783435385421,-96.37966637,resource_coordination
12,Where can I drop off supplies to help farmers and ranchers in Nebraska?,Sun Mar 31 09:09:48 +0000 2019,41.11910099483502,-96.09650959,resource_coordination
13,Where can I donate funds to the Nebraska flooding relief effort by Thursday?,Sat Mar 30 02:15:59 +0000 2019,40.46280142940957,-99.17833246,resource_coordination
14,"How can I donate to the flooding relief efforts in Gibbon, Nebraska?",Wed Mar 27 20:25:02 +0000 2019,40.68111455542907,-99.15305367,resource_coordination
15,"How can I help farmers in Wood River, Nebraska, recover from the devastating flooding?",Tue Mar 26 21:34:54 +0000 2019,40.76840099990887,-98.3929743,power_restoration
16,How can I donate to the Realtor Relief Fund for those affected by the disaster in Nebraska?,Tue Mar 26 20:37:36 +0000 2019,41.29994818,-96.75711867,resource_coordination
17,"Where can I donate supplies in Niobrara, Nebraska, on March 30th?",Sun Mar 31 17:17:51 +0000 2019,42.56961206,-97.7200159,resource_coordination
18,Where is the Nebraska Strong Burger Feed for flood relief located on March 26?,Thu Mar 28 18:17:41 +0000 2019,42.736615074837296,-97.89670341,resource_coordination
19,"Where can I donate shoes to flood victims in Waterloo, Nebraska?",Wed Apr 03 12:23:12 +0000 2019,41.05684402080775,-96.53854233,resource_coordination
20,"Where can I find clean drinking water in Wood River, Nebraska?",Fri Mar 29 13:59:56 +0000 2019,41.09948018178732,-97.98252149,power_restoration
21,How can I support Boyd County flood recovery efforts?,Mon Apr 01 07:04:59 +0000 2019,42.636805911826535,-99.22914765,resource_coordination
22,Where can I donate supplies for Nebraska flood victims in Bellevue?,Sat Mar 30 22:17:03 +0000 2019,41.31668585286073,-96.25515111,resource_coordination
23,How can I support FFA members affected by the floods?,Wed Mar 27 13:10:21 +0000 2019,41.96523716733279,-103.641452,resource_coordination
24,Are there any missing persons services available for the men in Nebraska?,Sun Mar 31 22:38:00 +0000 2019,41.30654597433665,-95.6190073,power_restoration
25,"What are the recovery resources available at the MARC in Fremont, Nebraska?",Sat Mar 30 11:30:20 +0000 2019,41.303198090218665,-96.30059707,resource_coordination
26,How can I volunteer with the Chef Relief Team in Colombia?,Thu Apr 04 02:53:20 +0000 2019,41.29032030738149,-96.15989683,resource_coordination
27,"How can I donate to the Lakeview FFA Chapter in Columbus, Nebraska, for flood relief?",Sat Mar 30 13:01:55 +0000 2019,41.417896787504525,-97.19771001,resource_coordination
28,Are there any recovery centers or services available in Omaha?,Mon Apr 01 13:59:38 +0000 2019,41.17055763529852,-96.01574582,resource_coordination
29,How can I get a free well water testing kit near Offutt Air Force Base?,Fri Mar 29 01:32:49 +0000 2019,41.154401436890105,-95.67076544,resource_coordination
30,How can I donate to the #NebraskaStrong Drive for Flood Relief?,Mon Mar 25 22:14:41 +0000 2019,40.32116654768079,-97.00401258,resource_coordination
31,"Where can I find donated food, clothing, and supplies in Wood River, Nebraska?",Sun Mar 31 08:03:02 +0000 2019,40.798891286546706,-98.66252721,resource_coordination
32,"How can I donate to support the Emergency Disaster Services team in Boyd County, Nebraska?",Tue Apr 02 18:15:36 +0000 2019,43.11280520460922,-98.66901241,resource_coordination
33,Where can I buy a t-shirt to support the Nebraska flooding relief efforts?,Thu Apr 04 23:46:31 +0000 2019,40.67676257783954,-96.02995966,resource_coordination
34,Where can I find water donations in Nebraska?,Fri Mar 29 18:54:34 +0000 2019,42.075600085647125,-97.96571589,resource_coordination
35,"Where can I find help with evacuation and sandbagging in Glenwood, Nebraska?",Tue Mar 26 13:06:49 +0000 2019,40.74676964903161,-95.83366682,resource_coordination
36,"How can I get help with mold remediation and home cleanup in North Bend, Nebraska?",Mon Apr 01 01:18:35 +0000 2019,41.681788556762854,-96.53223102,resource_coordination
37,What supplies can I donate in St. Paul to support Nebraska's agricultural community?,Thu Mar 28 15:47:23 +0000 2019,41.413609858365675,-98.51677492,resource_coordination
38,"How can I donate to help the community affected by the floods in Norfolk, Nebraska?",Thu Mar 28 03:46:30 +0000 2019,41.89333530326409,-97.42184402,resource_coordination
39,Where can I donate to the American Red Cross of Nebraska for flood disaster relief?,Wed Mar 27 17:40:49 +0000 2019,41.01130585894365,-99.24458739,resource_coordination
40,"What services is The Salvation Army providing in Glenwood on March 27, 2019?",Wed Mar 27 23:36:24 +0000 2019,40.823791370255655,-95.98390233,resource_coordination
41,How can I volunteer in the Scottsbluff area to help families affected by the floods?,Wed Apr 03 01:29:43 +0000 2019,41.52787120785878,-103.7850268,resource_coordination
42,"How can I donate to flood victims in Nebraska City, Nebraska?",Sat Mar 30 20:03:10 +0000 2019,40.922434292424164,-95.86334177,resource_coordination
43,Are there any recovery centers or services available for families affected by the flooding in Nebraska City?,Thu Mar 28 09:32:59 +0000 2019,40.67173976191697,-95.85090637,medical_help
44,How can I donate to support communities affected by the floods in eastern and northern Nebraska?,Wed Mar 27 12:12:00 +0000 2019,41.11577542145529,-95.47878896,resource_coordination
45,How can I apply for food benefits through D-SNAP in Elkhorn Middle School?,Thu Mar 28 23:07:35 +0000 2019,41.65284216524613,-96.39747677,resource_coordination
46,"What discounts or services are available for flood victims in Spencer, NE?",Sat Mar 30 07:55:23 +0000 2019,43.06937418758377,-98.5579851,resource_coordination
47,"How can I donate to help those affected by the flooding in Fremont, Nebraska?",Wed Apr 03 21:05:36 +0000 2019,41.66569515006557,-96.17824558,resource_coordination
48,How can I donate to help flood victims in the Missouri Valley area?,Fri Mar 29 11:39:01 +0000 2019,41.52635708178514,-95.54337233,resource_coordination
49,Where can I find hay assistance for my Nebraska ranch affected by flooding?,Mon Apr 01 20:45:01 +0000 2019,40.87382840089411,-98.37123885,resource_coordination
50,"What should I do to prepare for a tornado in Wood River, Nebraska?",Tue Apr 02 11:28:05 +0000 2019,40.918371998802805,-98.20314758,resource_coordination
51,"How can I donate to the Assembly of God Flood Disaster Relief Fund for Boyd, Holt, and Knox Counties in North Central Nebraska?",Wed Apr 03 21:11:35 +0000 2019,40.75127337578747,-96.34417148,resource_coordination
52,Where can I donate supplies in Fairbury to support Nebraska's livestock needs?,Wed Mar 27 07:40:00 +0000 2019,40.31466539,-96.97378464,resource_coordination
53,Where can I donate to the Red Cross Nebraska on April 3rd?,Mon Apr 01 18:16:45 +0000 2019,41.89885798830963,-97.52463695,resource_coordination
54,"How can I help locate lost pets in Hastings, Nebraska, after the recent floods?",Thu Mar 28 20:14:19 +0000 2019,40.66085511456394,-98.32397213,transportation
55,"Where can I get emergency canned drinking water in Plattsmouth, Nebraska?",Thu Mar 28 12:33:13 +0000 2019,41.097817265235136,-95.95114641,resource_coordination
56,Where can I donate to the American Red Cross Nebraska Flood Relief on March 27 in Gibbon?,Thu Mar 28 15:20:04 +0000 2019,40.75018472,-98.80366987,resource_coordination
57,Where can I find workshops on preserving damaged personal heirlooms after the disaster?,Sat Mar 30 07:42:24 +0000 2019,40.80463655019939,-98.7548086,resource_coordination
58,How can I join the convoy to transport supplies to flood-affected areas in Nebraska?,Fri Apr 05 09:38:54 +0000 2019,40.948874859361446,-96.77854317,resource_coordination
59,Where can I donate to the flood relief efforts in Ashland?,Wed Mar 27 10:36:45 +0000 2019,41.18312682907818,-95.93303785,resource_coordination
60,How can I donate to the Nebraska Farm Bureau Relief Fund to aid farmers and rural communities?,Thu Mar 28 13:08:57 +0000 2019,41.285736407171555,-96.66314131,resource_coordination
61,What counties in Nebraska are eligible for ECP applications to address flooding damages?,Wed Apr 03 17:01:33 +0000 2019,42.771326098159015,-99.15305985,resource_coordination
62,How can I donate to the Disaster Relief Fund at the Wood River Community Center?,Sat Mar 30 02:34:40 +0000 2019,40.78234330709681,-98.58182698,resource_coordination
63,"Where can I find aid for homeowners in Columbus, Nebraska, affected by the flood?",Sat Mar 30 10:04:30 +0000 2019,41.42631015021827,-96.85351458,resource_coordination
64,Where can I find support from Boehringer Ingelheim Animal Health USA Inc. in Nebraska?,Tue Apr 02 14:20:06 +0000 2019,40.975440960612985,-95.91542925,resource_coordination
65,How can I volunteer in Boyd County on April 1st?,Wed Apr 03 05:10:41 +0000 2019,43.032299340459424,-98.84361468,resource_coordination
66,What is the location and status of the flood relief center in Sioux City?,Mon Mar 25 23:18:05 +0000 2019,42.12682669075389,-96.55960925,resource_coordination
67,Where can I find information on flood recovery efforts in Nebraska?,Fri Mar 29 12:04:17 +0000 2019,41.45429420083542,-98.96416928,resource_coordination
68,How can I volunteer to help homeowners in Nebraska affected by the flooding?,Wed Mar 27 06:03:32 +0000 2019,42.75355323565243,-96.86507101,resource_coordination
69,Where can I donate to support Nebraska flood victims in Fremont?,Thu Mar 28 18:19:53 +0000 2019,41.48173186782234,-96.21450858,resource_coordination
70,How can I contribute to Nebraska flood relief efforts before April 1st?,Thu Apr 04 14:37:59 +0000 2019,41.42245564065341,-97.33431372,resource_coordination
71,"How can I get help with clearing mud and debris in Snyder, Nebraska?",Sat Mar 30 05:03:23 +0000 2019,41.71438888738504,-97.14709884,resource_coordination
72,How can I donate to the Nebraska flood relief effort?,Sat Mar 30 02:19:58 +0000 2019,41.00609753127743,-98.66351982,resource_coordination
73,"How can I register for federal assistance in Genoa, Nebraska, starting March 26?",Wed Mar 27 04:14:30 +0000 2019,41.39488884872084,-98.06511719,resource_coordination
74,"Are there any recovery centers or services available in Waterloo, Nebraska, after the flooding?",Wed Mar 27 19:29:20 +0000 2019,41.41496181021118,-96.30612432,resource_coordination
75,"How can I access food assistance through the Supplemental Nutrition Assistance Program in Genoa, Nebraska?",Fri Mar 29 01:35:20 +0000 2019,41.44682522894257,-98.05828646,resource_coordination
76,How can I donate to support flood victims in Nebraska?,Sun Mar 31 05:12:33 +0000 2019,40.57191571349407,-98.59389559,resource_coordination
77,Am I eligible for mortgage and rental cost assistance in the Bellevue area?,Tue Mar 26 03:16:15 +0000 2019,41.227867028358176,-95.9120574,transportation
78,"How can I support the Lakeview FFA Chapter in Columbus, Nebraska?",Thu Mar 28 19:19:43 +0000 2019,41.34996598121576,-97.43471395,resource_coordination
79,What faith-based organizations in Sioux City are helping with the Nebraska flood response?,Sat Mar 30 07:18:37 +0000 2019,42.580220792322315,-96.29613905,resource_coordination
80,Where is the Bellevue donation center for Nebraska Flood Victims located?,Sat Mar 30 15:59:46 +0000 2019,41.20341536998462,-96.34401642,resource_coordination
81,"Where is The Cajun Navy Donation Warehouse in Grand Island, Nebraska, and when can I volunteer?",Tue Apr 02 01:54:10 +0000 2019,40.875192807437365,-96.78895878,resource_coordination
82,How can I donate to the Bank on Nebraska Flood Relief Fund in Fairbury?,Fri Mar 29 21:14:47 +0000 2019,40.252877082117884,-96.64929687,resource_coordination
83,Where can I donate to support Nebraska flood victims this Saturday?,Sat Mar 30 16:29:47 +0000 2019,41.06895297455728,-96.16343413,resource_coordination
84,"What are the transportation services available in Kearney, Nebraska?",Thu Apr 04 02:16:04 +0000 2019,41.15099773304539,-98.28597484,resource_coordination
85,"What resources are available in Bellevue, Nebraska, to help restore my life and community after the flood?",Wed Apr 03 16:43:27 +0000 2019,41.12007542070816,-95.87906443,resource_coordination
86,"Where can I find hay and supplies in Fremont, Nebraska?",Tue Apr 02 04:36:24 +0000 2019,41.83182302295926,-96.24133023,resource_coordination
87,"How can I volunteer to help farmers in Wood River, Nebraska affected by blizzards and floods?",Fri Mar 29 13:32:29 +0000 2019,40.93293120087459,-98.66225659,resource_coordination
88,What resources are available from Nebraska Extension in Papillion for flood victims?,Tue Mar 26 14:09:41 +0000 2019,40.87430941491441,-95.67468464,resource_coordination
89,What is the status of the Nebraska Central Railroad after the flood in Grand Island?,Fri Mar 29 11:16:52 +0000 2019,40.80571629344121,-98.83087677,resource_coordination
90,"How can I help my parents in Lincoln, Nebraska, after their home was flooded on March 31, 2019?",Sun Mar 31 12:34:17 +0000 2019,40.566875099962765,-97.18970363,transportation
91,What is the deadline for donating to the Nebraska Islamic Foundation in Central City?,Fri Mar 29 02:39:59 +0000 2019,40.997507981542284,-97.54118272,resource_coordination
92,Where can I donate to the Red Cross's flood relief efforts in the Midwest this Friday and Saturday?,Thu Mar 28 07:56:33 +0000 2019,41.10739957,-98.19923929,resource_coordination
93,"How are the supplies transported to farmers in Omaha, Nebraska, affected by flooding?",Fri Mar 29 13:24:37 +0000 2019,41.21910780435762,-95.96140563,logistics
94,"Where can I find faith-based recovery services in Marysville, Nebraska, on April 1, 2019?",Tue Apr 02 04:39:33 +0000 2019,40.99402062456567,-97.01095346,resource_coordination
95,How can I donate to the Nebraska Cattlemen Disaster Relief Fund from Albion?,Sat Mar 30 07:59:07 +0000 2019,41.681241391079034,-97.62626322,resource_coordination
96,How can I donate supplies to flood victims in Nebraska?,Wed Apr 03 04:26:15 +0000 2019,41.515831195664404,-96.70506006,resource_coordination
97,How can I donate to the Red Cross for Iowa and Nebraska Flood Relief in Omaha?,Sat Mar 30 04:36:33 +0000 2019,41.217728657981354,-95.66759859,resource_coordination
98,What are the safe routes to travel to Lincoln area?,Sat Mar 30 17:56:41 +0000 2019,40.57872980515954,-97.04812349,transportation
99,"Where can I find a burger and pork feed in Columbus, Nebraska tomorrow?",Wed Mar 27 00:48:49 +0000 2019,41.12628090100354,-97.51296067,resource_coordination
100,"How can I donate to the Eagle Communications relief efforts in Columbus, Nebraska?",Sun Mar 31 15:22:10 +0000 2019,41.437988494343315,-97.34448065,resource_coordination
101,How can I bid on the auction to support the Nebraska flood relief efforts?,Mon Apr 01 04:18:05 +0000 2019,40.35702906793673,-98.99730653,resource_coordination
102,How can I volunteer in the flood recovery efforts from Omaha?,Thu Mar 28 00:08:45 +0000 2019,41.40835078724269,-95.64911436,resource_coordination
103,"What is the University of Nebraska's response plan for the flood in Fairbury, Nebraska?",Mon Apr 01 01:24:00 +0000 2019,40.244853500782995,-97.2904708,resource_coordination
104,"Where can I donate to support the community in Lynch, Nebraska?",Tue Apr 02 04:34:24 +0000 2019,43.14399464111969,-98.76995216,resource_coordination
105,"How can I donate supplies to the disaster relief effort in Albion, Nebraska?",Mon Apr 01 11:46:10 +0000 2019,41.787677055632834,-97.93298047,resource_coordination
106,"How can I help victims of the recent flooding in Scottsbluff, Nebraska?",Thu Apr 04 23:00:48 +0000 2019,41.53721819953813,-103.3594229,resource_coordination
107,How can I get help from FEMA to restore my home or business in Nebraska?,Thu Apr 04 09:12:53 +0000 2019,41.19240863504538,-95.95335877,resource_coordination
108,"Where can I find a food pantry in Elm Creek, Nebraska, for aid after the flooding?",Tue Apr 02 11:19:53 +0000 2019,41.208932828828615,-97.19586385,resource_coordination
109,"How can I donate to support the American Red Cross in Council Bluffs, Nebraska?",Wed Apr 03 22:57:41 +0000 2019,41.25623090763149,-95.87815899,resource_coordination
110,"Where can I get water assistance in Columbus, Nebraska, today?",Thu Apr 04 10:05:51 +0000 2019,41.57169719837385,-97.90532003,resource_coordination
111,How can I donate to the Nebraska Farmers Union in Fremont?,Sun Mar 31 23:43:11 +0000 2019,41.38943744848839,-96.03145623,resource_coordination
112,Where can I apply for aid in Nebraska as of March 26th?,Sun Mar 31 00:47:03 +0000 2019,41.17764975996352,-95.98618968,power_restoration
113,How can I donate directly to the Ponca Nation of Nebraska for flood relief?,Fri Mar 29 04:45:01 +0000 2019,42.917465720309686,-98.84620374,resource_coordination
114,How can I volunteer in the Valley area of Nebraska?,Wed Apr 03 04:38:34 +0000 2019,41.346879913077096,-96.51399504,resource_coordination
115,Where is the auction fundraiser for the affected Ranchers and Farmers in Nebraska?,Thu Mar 28 23:30:42 +0000 2019,41.278121516923534,-96.21459775,resource_coordination
116,Where is the free dentistry service being held in St. Paul?,Fri Mar 29 12:33:38 +0000 2019,41.60234306720726,-98.57594376,resource_coordination
117,How can I participate in the donation drive for Nebraska flood victims in Schuyler?,Fri Apr 05 14:55:40 +0000 2019,41.216565066517155,-96.84641951,resource_coordination
118,How can I donate supplies to aid in rebuilding efforts in Eastern Nebraska?,Sat Mar 30 10:22:09 +0000 2019,40.977852742132036,-98.98474911,resource_coordination
119,How can I support students and staff affected by the floods in the Albion area?,Fri Mar 29 14:28:19 +0000 2019,41.87729545237453,-97.4892659,resource_coordination
120,"What resources are available in Fremont, Nebraska, for flood relief?",Sat Mar 30 01:40:55 +0000 2019,41.52411443504971,-97.27535723,resource_coordination
121,How can I donate to the Archdiocese of Omaha's flood relief fund?,Sun Mar 31 22:53:00 +0000 2019,41.03022791557409,-95.51318945,resource_coordination
122,Where are the hay and equipment drop centers located in Nebraska?,Sun Mar 31 19:11:40 +0000 2019,41.52767135,-97.81486608,resource_coordination
123,Where is the drop-off location for donations to the Nebraska Flood Victims by 3 pm today?,Wed Mar 27 14:30:37 +0000 2019,41.16478655612857,-97.00172904,resource_coordination
124,"How can I help a community center in Wood River, Nebraska, affected by flooding?",Wed Apr 03 00:25:26 +0000 2019,40.40976822839409,-98.71446323,resource_coordination
125,What support services are available through the Nebraska Family Helpline or Nebraska Farm Hotline?,Sun Mar 31 02:08:50 +0000 2019,40.657970236750856,-98.97821638,resource_coordination
126,How can I donate to the Nebraska Red Cross from Fremont?,Tue Apr 02 11:36:56 +0000 2019,41.41654291290174,-96.53341775,resource_coordination
127,"Where can I find information on the US National Guard's response efforts in Nebraska, Missouri, and Iowa?",Sat Mar 30 21:36:44 +0000 2019,41.11753061687103,-95.90046851,resource_coordination
128,How can I donate to the Nebraska Farm Bureau fund for farmers at Lake Wanahoo?,Thu Apr 04 03:14:01 +0000 2019,41.16162220625962,-96.67440201,resource_coordination
